"Course","Price","Time number","Time","Program","Rythme","Débouchés"
"Module 4 : 3D Animation",1000,9,"Semaines","UX Design","Les soirs et fins de semaine pour les personnes au travail ou aux études. ",70000
"Module 3: Video editing",1000,9,"Semaines","UX Design","Les soirs et fins de semaine pour les personnes au travail ou aux études. ",70000
"Module 2: UX/UI Design",1000,9,"Semaines","UX Design","Les soirs et fins de semaine pour les personnes au travail ou aux études. ",70000
"Développement backend avancé",1000,9,"Semaines","Développement Web et Mobile","Les soirs et fins de semaine pour les personnes au travail ou aux études. ",70000
"Intégration avec des API",1000,9,"Semaines","Développement Web et Mobile","Les soirs et fins de semaine pour les personnes au travail ou aux études. ",70000
"Développement front end",1000,9,"Semaines","Développement Web et Mobile","Les soirs et fins de semaine pour les personnes au travail ou aux études. ",70000
"Prendre en main le bureau distant GATE",0,2,"Semaines","Initiation à l'informatique et au travail à distance","5h par semaine",0
"DevOps1: Linux From Scratch",1000,9,"Semaines","DevOps","5h par semaine",70000
"Développement backend",1000,9,"Semaines","Développement Web et Mobile","5h par semaine",70000
"Assurance Qualité en logiciel",1000,9,"Semaines","Analyse d'affaire","Les soirs et fins de semaine pour les personnes au travail ou aux études. ",70000
"Module 1: Graphic Design",1000,9,"Semaines","UX Design","4h par semaine",70000
"Implantation de logiciel",1000,9,"Semaines","Analyse d'affaire","Les soirs et fins de semaine pour les personnes au travail ou aux études. ",70000
"Ingénierie des processus métier",1000,9,"Semaines","Analyse d'affaire","Les soirs et fins de semaine pour les personnes au travail ou aux études. ",70000
